sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
M,Minas Gerais,63,Jubilado,3,Económica,423.63,No,0,876,17,Web
M,Entre Ríos,37,Contador,6,Económica,693.65,No,0,4047,0,App
F,Santa Fe,24,Docente,15,Ejecutiva,12367.99,No,0,948,22,Web
F,Bahia,39,Ejecutivo,31,Económica,7256.25,No,0,2947,6,Agencia
F,Chaco,51,Docente,21,Económica,4814.7,No,0,1588,24,App
M,Rio de Janeiro,40,Otro,10,Económica,3025.76,No,0,1229,8,App
F,Valle del Cauca,18,Estudiante,7,Económica,1871.24,No,0,332,18,Web
F,CABA,21,Estudiante,2,Económica,186.83,No,0,460,24,Agencia
F,Rio de Janeiro,41,Comerciante,4,Económica,899.88,No,0,1554,23,Agencia
M,Panamá,47,Abogado,17,Económica,3378.96,No,0,2286,41,App
F,Santander,18,Estudiante,5,Económica,1696.44,No,0,300,25,Web
M,Buenos Aires,21,Estudiante,2,Económica,322.16,No,0,497,8,Web
F,Chaco,36,Otro,23,Económica,2471.48,No,0,1928,1,Web
M,Entre Ríos,48,Contador,18,Económica,2991.3,Sí,13075,2451,49,Web
F,Los Santos,29,Arquitecto,16,Económica,3327.45,No,0,2575,8,Agencia
F,Santander,21,Estudiante,3,Económica,457.87,No,0,400,32,Web
M,Misiones,40,Otro,20,Económica,3093.97,No,0,2791,8,Web
F,Nariño,38,Ejecutivo,22,Económica,4997.89,No,0,4124,17,Web
M,Tucumán,51,Profesional independiente,23,Económica,2244.7,No,0,4228,18,Agencia
M,Mendoza,40,Profesional independiente,1,Económica,173.83,No,0,1681,6,App
F,Valle del Cauca,36,Empleado,15,Económica,1534.36,No,0,1807,16,App
M,Colón,44,Empleado,16,Económica,3892.28,No,0,2193,2,Agencia
F,Santander,39,Docente,21,Económica,5640.06,No,0,1901,4,Web
F,Chiriquí,21,Estudiante,2,Económica,735.8,No,0,366,7,Web
M,Misiones,36,Docente,8,Ejecutiva,5892.93,No,0,918,15,App
M,Mendoza,58,Empleado,8,Económica,1082.76,Sí,3830,1024,2,Web
F,Paraná,53,Empleado,8,Económica,2411.45,No,0,1190,3,Agencia
No binario,Antioquia,39,Otro,11,Económica,2416.71,Sí,3880,1519,10,Web
F,Buenos Aires,50,Empleado,3,Económica,625.87,No,0,1906,20,App
M,Córdoba,31,Empleado,8,Económica,3088.48,No,0,1136,49,Web
F,Panamá,53,Comerciante,16,Económica,4082.95,No,0,859,26,App
M,Misiones,26,Ingeniero,9,Económica,812.46,No,0,6247,4,Aeropuerto
M,Chaco,57,Contador,9,Ejecutiva,4599.01,No,0,2373,18,Web
F,Chaco,38,Empleado,11,Económica,2402.77,No,0,1118,4,App
M,Buenos Aires,54,Comerciante,12,Económica,1035.0,Sí,11275,1806,14,Web
F,Córdoba,36,Arquitecto,6,Ejecutiva,2175.11,No,0,1912,25,Web
F,Santander,43,Profesional independiente,10,Económica,1091.38,No,0,3094,12,Web
F,Chaco,27,Arquitecto,4,Económica,849.65,No,0,3970,8,App
M,Rio de Janeiro,31,Ingeniero,22,Económica,4811.62,No,0,3197,1,App
M,CABA,63,Jubilado,4,Económica,951.42,No,0,1320,2,Web
M,Valle del Cauca,49,Empleado,2,Económica,419.64,No,0,2498,23,Agencia
F,Córdoba,52,Empleado,15,Económica,2587.76,No,0,2007,5,Web
F,Tucumán,22,Estudiante,3,Económica,276.75,Sí,3192,389,10,App
F,Nariño,43,Docente,1,Ejecutiva,401.32,No,0,1632,11,Agencia
F,Antioquia,42,Empleado,12,Económica,1840.01,No,0,1524,1,Web
M,Salta,23,Empleado,22,Económica,3710.06,No,0,1627,13,App
M,Rio Grande do Sul,28,Médico,21,Económica,2105.7,Sí,17157,7768,4,Agencia
F,CABA,63,Comerciante,18,Económica,3447.18,No,0,1541,4,Aeropuerto
F,Tucumán,22,Empleado,21,Económica,6086.42,No,0,1009,5,App
F,Antioquia,40,Profesional independiente,15,Ejecutiva,12322.57,No,0,1677,8,App
M,Valle del Cauca,42,Profesional independiente,18,Económica,4606.11,No,0,3769,8,Agencia
No binario,Nariño,27,Comerciante,22,Económica,1665.82,No,0,2213,5,Web
M,Mendoza,26,Empleado,17,Económica,1455.87,No,0,983,14,App
M,Santander,27,Contador,13,Económica,3024.11,Sí,8197,3559,10,App
F,Herrera,28,Ingeniero,23,Económica,1873.52,No,0,3078,14,App
F,Rio Grande do Sul,37,Profesional independiente,19,Ejecutiva,14437.75,No,0,2604,26,Web
F,Santa Fe,37,Profesional independiente,14,Económica,2187.09,No,0,3055,7,App
F,Córdoba,44,Empleado,7,Económica,590.06,No,0,1932,7,App
F,Tolima,48,Médico,6,Ejecutiva,1879.7,No,0,6784,6,App
M,Minas Gerais,40,Docente,8,Económica,2457.4,No,0,984,16,Web
M,Valle del Cauca,35,Empleado,9,Económica,773.62,No,0,3493,30,Web
M,Salta,48,Médico,15,Ejecutiva,7604.15,Sí,15164,4035,8,Web
M,Santander,39,Ejecutivo,21,Económica,6903.77,No,0,4718,0,Web
M,Herrera,45,Otro,13,Económica,3304.07,No,0,2616,33,Web
M,Mendoza,50,Empleado,23,Económica,5174.94,Sí,13456,2106,50,Web
F,Rio Grande do Sul,44,Docente,20,Económica,1910.58,No,0,1851,137,Agencia
F,Misiones,41,Profesional independiente,19,Económica,5296.48,No,0,3194,19,Web
F,Córdoba,48,Ejecutivo,58,Económica,10060.35,No,0,1866,8,App
F,Bolívar,18,Otro,13,Económica,2239.67,No,0,1299,25,App
M,Mendoza,34,Empleado,22,Económica,8336.71,No,0,1260,37,App
M,CABA,58,Profesional independiente,2,Económica,157.67,No,0,1092,9,Web
M,Córdoba,41,Contador,20,Económica,5029.62,No,0,1399,7,App
M,Minas Gerais,36,Abogado,1,Económica,238.21,No,0,3455,19,Aeropuerto
F,Panamá,48,Ingeniero,6,Ejecutiva,2612.05,No,0,3530,37,Agencia
M,Santander,29,Otro,15,Económica,5191.16,No,0,1542,60,Web
F,Córdoba,42,Empleado,13,Económica,2115.0,No,0,1452,9,Web
M,Antioquia,48,Médico,24,Económica,2325.99,No,0,4102,8,Web
M,Veraguas,56,Ingeniero,6,Ejecutiva,3578.28,No,0,3798,16,Agencia
M,Paraná,40,Empleado,14,Económica,3088.86,No,0,1849,41,Agencia
F,Córdoba,53,Otro,5,Económica,1300.44,No,0,2202,17,Agencia
M,Colón,32,Contador,23,Económica,4221.27,No,0,3545,16,Web
M,Mendoza,34,Docente,10,Económica,2139.35,No,0,1109,27,Web
M,Panamá,35,Otro,23,Económica,2048.75,No,0,2478,3,App
F,Cundinamarca,55,Comerciante,23,Económica,5520.07,No,0,825,14,Agencia
M,Nariño,27,Profesional independiente,7,Ejecutiva,3755.1,No,0,2089,30,Agencia
M,Valle del Cauca,38,Docente,15,Ejecutiva,8453.64,No,0,969,55,Agencia
M,Chaco,30,Profesional independiente,11,Económica,2121.95,No,0,1726,39,Agencia
F,Atlántico,25,Empleado,14,Económica,3503.24,Sí,12807,1711,4,App
M,Buenos Aires,56,Ingeniero,2,Económica,626.39,No,0,4339,20,Aeropuerto
M,São Paulo,53,Comerciante,8,Económica,874.62,No,0,1376,4,App
F,Santa Fe,28,Empleado,22,Económica,4362.96,No,0,1458,19,Web
F,Chaco,40,Arquitecto,5,Económica,988.07,No,0,2146,3,App
F,Nariño,50,Comerciante,11,Económica,2745.75,No,0,1750,5,App
M,Salta,41,Contador,9,Económica,1275.67,No,0,1649,20,Web
M,Entre Ríos,28,Empleado,13,Ejecutiva,10248.53,No,0,1162,9,App
F,Tolima,48,Contador,23,Económica,7484.7,No,0,2034,45,Aeropuerto
F,Valle del Cauca,18,Estudiante,1,Ejecutiva,493.42,No,0,411,18,Web
F,Misiones,39,Comerciante,3,Económica,730.96,No,0,1033,27,Web
M,Salta,28,Empleado,5,Ejecutiva,2578.25,No,0,4080,19,App
F,Tucumán,18,Empleado,16,Económica,1513.43,No,0,955,0,App
F,Salta,38,Profesional independiente,10,Económica,2016.53,No,0,1729,39,Web
M,Minas Gerais,39,Empleado,24,Económica,5116.01,Sí,6694,1586,19,Web
M,Pernambuco,45,Ingeniero,22,Ejecutiva,12239.86,No,0,3446,7,App
M,Bahia,28,Comerciante,15,Económica,1782.74,No,0,1666,4,App
F,Colón,61,Empleado,19,Económica,4944.79,No,0,1208,4,Web
F,Tucumán,32,Deportista,61,Económica,9026.74,No,0,898,12,Aeropuerto
M,Paraná,30,Ejecutivo,16,Económica,5548.81,Sí,9845,1753,20,App
F,Salta,32,Docente,19,Ejecutiva,9381.19,No,0,1206,39,Aeropuerto
F,Rio de Janeiro,57,Empleado,4,Ejecutiva,1806.44,No,0,2288,0,App
F,Mendoza,35,Empleado,6,Económica,1395.12,No,0,1307,33,Agencia
M,CABA,47,Empresario,34,Ejecutiva,16708.64,No,0,4688,29,Web
M,Salta,46,Abogado,1,Ejecutiva,278.45,No,0,3831,9,App
F,Veraguas,38,Deportista,36,Económica,11920.16,No,0,874,20,Agencia
F,Misiones,60,Profesional independiente,19,Económica,4418.13,Sí,12162,3329,26,Agencia
M,Santa Fe,26,Otro,1,Ejecutiva,362.94,No,0,4051,15,Web
F,Herrera,18,Estudiante,5,Económica,1193.71,No,0,300,63,Web
M,Mendoza,54,Empresario,47,Económica,6751.22,No,0,3672,0,App
M,Colón,52,Arquitecto,19,Económica,5550.04,No,0,2690,67,App
M,Panamá,37,Profesional independiente,23,Ejecutiva,8804.55,No,0,5413,17,Web
M,Santander,35,Profesional independiente,19,Económica,6342.75,No,0,2894,4,App
F,Herrera,46,Ingeniero,19,Económica,4749.07,No,0,3474,8,App
F,Veraguas,45,Ingeniero,18,Económica,4296.32,No,0,2661,46,App
F,Colón,18,Estudiante,1,Económica,142.3,No,0,388,31,App
M,Bolívar,29,Profesional independiente,20,Ejecutiva,9084.57,No,0,3949,10,App
F,Bolívar,30,Médico,21,Ejecutiva,11853.59,No,0,8192,19,App
M,Tucumán,26,Otro,20,Económica,2669.75,No,0,1004,17,Web
F,Rio Grande do Sul,19,Empleado,12,Económica,1337.2,No,0,1570,1,App
M,Rio de Janeiro,41,Empleado,14,Económica,4160.36,No,0,1226,19,Aeropuerto
F,Los Santos,45,Empleado,18,Ejecutiva,10790.45,No,0,1920,4,App
M,Tolima,57,Médico,22,Ejecutiva,10169.75,No,0,7210,4,App
M,Bahia,48,Empleado,15,Económica,4775.38,No,0,3265,8,Web
M,Entre Ríos,38,Docente,17,Económica,2494.61,No,0,1162,22,Web
M,Atlántico,39,Ejecutivo,25,Ejecutiva,8895.65,Sí,26872,4856,0,App
F,Valle del Cauca,24,Abogado,5,Ejecutiva,1894.68,Sí,10505,4243,69,Web
F,Bolívar,52,Empleado,6,Ejecutiva,4464.37,No,0,2152,16,Agencia
F,Veraguas,30,Empresario,29,Económica,8389.2,No,0,2380,28,App
M,Santander,42,Profesional independiente,23,Económica,5212.81,No,0,2364,33,Web
M,Bolívar,37,Empleado,19,Económica,3169.53,No,0,2976,4,App
F,Entre Ríos,50,Empresario,11,Económica,4060.16,No,0,2914,11,App
F,Chaco,25,Empleado,11,Económica,1152.36,No,0,1706,27,App
No binario,Salta,45,Ingeniero,3,Económica,929.89,No,0,2723,11,Aeropuerto
M,Santander,50,Profesional independiente,1,Económica,217.03,Sí,569,1641,36,App
F,Cundinamarca,48,Docente,1,Económica,102.83,No,0,1703,20,App
M,CABA,34,Médico,8,Primera clase,15039.53,No,0,8293,8,Web
F,Atlántico,36,Arquitecto,7,Ejecutiva,5825.11,No,0,3460,13,Web
M,Tucumán,59,Otro,13,Ejecutiva,9403.48,No,0,5687,11,Web
F,Chaco,33,Empleado,16,Económica,2580.45,No,0,3949,0,Web
F,Salta,46,Otro,14,Económica,2617.99,No,0,678,15,Web
F,Córdoba,41,Empleado,6,Económica,1496.45,No,0,2356,29,Aeropuerto
M,Paraná,43,Arquitecto,6,Económica,1952.2,No,0,3979,10,Web
F,Cundinamarca,22,Estudiante,2,Ejecutiva,1023.14,Sí,3853,349,49,App
F,Santa Fe,18,Otro,18,Ejecutiva,9447.78,No,0,2113,2,App
F,Córdoba,18,Estudiante,2,Económica,410.3,No,0,434,35,Agencia
M,Cundinamarca,37,Profesional independiente,16,Ejecutiva,9110.69,No,0,4075,5,Agencia
F,Santa Fe,45,Empleado,1,Económica,327.31,No,0,1181,3,Web
F,Veraguas,31,Arquitecto,1,Económica,235.7,No,0,1724,57,Web
M,Los Santos,28,Comerciante,22,Económica,4721.23,Sí,6420,2115,7,App
F,Pernambuco,43,Contador,17,Económica,3734.66,No,0,2230,33,Aeropuerto
M,Santander,33,Comerciante,20,Económica,4647.25,No,0,1527,8,App
F,Atlántico,55,Profesional independiente,3,Ejecutiva,1587.16,No,0,4045,5,Agencia
F,Tucumán,29,Empleado,12,Económica,3005.18,Sí,10038,812,18,Web
M,Minas Gerais,18,Empleado,6,Económica,1095.13,No,0,999,20,Web
F,Bolívar,43,Contador,6,Económica,739.59,No,0,2530,9,Web
F,Atlántico,18,Empleado,1,Económica,229.97,No,0,947,17,Aeropuerto
F,Mendoza,56,Empleado,9,Ejecutiva,3986.09,No,0,1828,4,Web
M,Santander,46,Ingeniero,20,Económica,3164.4,No,0,2425,3,Aeropuerto
M,Chiriquí,45,Empleado,6,Ejecutiva,3885.13,No,0,1928,11,Agencia
F,CABA,34,Comerciante,19,Económica,5513.79,No,0,704,3,Web
M,Panamá,48,Empleado,24,Económica,3156.62,No,0,1483,1,Web
F,Chaco,45,Profesional independiente,3,Económica,749.93,No,0,2068,55,Web
M,Antioquia,39,Contador,4,Económica,330.26,No,0,2830,32,Web
F,Colón,40,Profesional independiente,3,Económica,523.33,No,0,1290,1,Aeropuerto
M,CABA,33,Otro,5,Económica,1226.75,No,0,2026,0,App
M,Mendoza,19,Empleado,23,Económica,8293.75,No,0,1408,67,App
M,Bolívar,26,Ejecutivo,37,Ejecutiva,19514.24,No,0,6235,9,Web
M,Santander,24,Docente,22,Económica,2403.42,Sí,23974,812,2,Aeropuerto
M,Buenos Aires,30,Abogado,10,Ejecutiva,3863.71,Sí,18558,3864,49,Agencia
M,Santa Fe,33,Ejecutivo,22,Económica,6924.18,No,0,1632,1,Web
F,Bolívar,23,Estudiante,7,Ejecutiva,4951.35,No,0,358,18,App
M,Misiones,47,Profesional independiente,10,Económica,2809.09,No,0,6284,2,Web
F,Valle del Cauca,57,Abogado,14,Ejecutiva,11036.03,No,0,3532,37,App
M,Herrera,32,Comerciante,17,Económica,4650.38,No,0,1566,5,Web
F,Salta,55,Empleado,5,Económica,915.51,Sí,4617,1700,0,Agencia
M,Misiones,52,Arquitecto,18,Ejecutiva,6259.56,No,0,4076,23,Web
M,Nariño,40,Abogado,8,Económica,1430.04,No,0,2022,3,Agencia
F,Entre Ríos,39,Abogado,17,Económica,4578.11,Sí,12461,2826,39,App
M,Nariño,24,Docente,23,Económica,6234.74,Sí,18548,1399,8,App
M,Córdoba,53,Ingeniero,13,Económica,1642.69,No,0,4448,16,Aeropuerto
F,Córdoba,45,Otro,3,Ejecutiva,2457.99,Sí,2478,3507,24,Web
F,Córdoba,21,Otro,13,Económica,2882.01,Sí,10832,1784,5,App
M,Buenos Aires,56,Médico,19,Económica,5653.51,Sí,6333,6074,31,Aeropuerto
M,Los Santos,39,Empleado,19,Ejecutiva,15253.12,No,0,1073,3,Agencia
M,Santander,52,Empleado,9,Económica,2967.41,No,0,1940,14,App
M,Tucumán,35,Médico,5,Ejecutiva,1776.84,No,0,4731,25,Agencia
M,Minas Gerais,28,Profesional independiente,4,Ejecutiva,1656.25,No,0,2632,10,App
M,Bahia,35,Abogado,19,Ejecutiva,6652.94,No,0,2955,5,App
F,Chaco,45,Ejecutivo,30,Económica,7974.67,No,0,5353,1,Agencia
M,Minas Gerais,47,Abogado,7,Primera clase,9483.19,No,0,4261,6,Aeropuerto
F,Cundinamarca,39,Empleado,15,Económica,3783.75,No,0,1941,13,Web
M,Chaco,38,Contador,22,Económica,5217.03,No,0,3307,37,Agencia
M,CABA,38,Ejecutivo,51,Económica,9974.41,No,0,4804,4,Web
F,Atlántico,49,Docente,23,Económica,2203.89,Sí,23273,1061,70,App
M,Nariño,34,Contador,16,Ejecutiva,7546.18,No,0,3640,2,Web
F,Misiones,47,Empleado,13,Ejecutiva,4073.9,No,0,1271,2,Web
F,Chaco,41,Profesional independiente,12,Económica,1450.81,No,0,1874,3,App
M,Buenos Aires,33,Empleado,2,Económica,314.01,No,0,1112,43,Web
F,Rio Grande do Sul,32,Empleado,24,Económica,8518.22,No,0,2523,15,Agencia
M,Colón,52,Otro,8,Económica,1046.36,Sí,7865,1428,23,Agencia
M,Bahia,26,Empleado,18,Económica,1838.4,Sí,6533,2135,25,App
F,Santander,53,Empleado,12,Económica,3143.17,No,0,1366,8,App
F,Santander,39,Otro,2,Económica,369.39,No,0,1490,90,App
M,Santa Fe,22,Empleado,20,Ejecutiva,15447.98,No,0,1086,8,App
M,Cundinamarca,34,Profesional independiente,4,Económica,989.49,Sí,2571,1649,53,App
M,CABA,55,Ingeniero,9,Económica,1443.46,No,0,2158,0,App
F,Tolima,24,Empleado,12,Económica,3925.6,Sí,2855,1225,33,Aeropuerto
M,Veraguas,29,Ejecutivo,63,Económica,9682.6,No,0,2898,7,App
M,Tucumán,32,Otro,11,Económica,2087.79,No,0,1618,10,Web
M,Tucumán,23,Estudiante,1,Ejecutiva,665.22,No,0,396,74,Web
F,Santa Fe,31,Empleado,11,Económica,2022.92,No,0,1592,22,Web
F,Veraguas,41,Contador,15,Económica,2957.29,No,0,6187,4,App
F,Entre Ríos,34,Arquitecto,6,Económica,1249.75,No,0,1172,5,Aeropuerto
M,Entre Ríos,28,Profesional independiente,2,Económica,615.36,No,0,1627,1,Aeropuerto
F,CABA,46,Ejecutivo,71,Económica,22080.03,Sí,34517,6043,10,Web
F,Tolima,34,Comerciante,24,Económica,5480.62,No,0,2069,13,App
F,Entre Ríos,30,Ingeniero,18,Económica,4885.73,No,0,1502,20,Aeropuerto
F,CABA,27,Comerciante,22,Económica,8386.75,Sí,13705,1168,8,Agencia
F,Valle del Cauca,23,Estudiante,4,Económica,406.27,No,0,342,47,App
F,Santa Fe,52,Profesional independiente,4,Ejecutiva,2645.66,No,0,4618,5,Agencia
M,São Paulo,46,Ejecutivo,22,Económica,5828.11,No,0,5657,43,App
F,Colón,25,Empleado,24,Económica,7129.91,No,0,3049,15,App
M,Salta,41,Empleado,17,Económica,3392.57,No,0,1911,26,App
M,CABA,50,Profesional independiente,10,Económica,3264.89,No,0,3275,4,Web
M,Tucumán,34,Docente,3,Económica,961.67,No,0,1192,41,Web
F,Pernambuco,18,Estudiante,7,Económica,2029.86,Sí,5434,442,1,App
F,Nariño,50,Profesional independiente,1,Ejecutiva,616.06,No,0,3743,9,Web
M,Veraguas,35,Médico,19,Ejecutiva,6186.68,No,0,8300,11,Web
F,São Paulo,48,Empleado,12,Económica,3731.9,Sí,5903,1676,3,Web
M,Santa Fe,26,Empresario,41,Ejecutiva,9623.61,No,0,7255,9,App
M,Colón,36,Empleado,16,Económica,4736.82,Sí,12721,967,0,Agencia
M,São Paulo,50,Empleado,22,Económica,2781.18,Sí,13316,1476,2,Web
M,Antioquia,19,Estudiante,7,Económica,1835.03,No,0,300,34,Web
M,Tolima,18,Empleado,8,Ejecutiva,5679.73,No,0,1619,8,App
F,Entre Ríos,40,Empleado,22,Económica,5960.7,No,0,930,7,Web
F,Valle del Cauca,36,Profesional independiente,14,Económica,3115.33,No,0,2762,39,App
M,Cundinamarca,54,Empleado,22,Económica,2600.21,Sí,22222,1883,4,App
M,Salta,39,Empleado,17,Económica,6281.51,Sí,7691,2444,9,Web
M,Entre Ríos,57,Empleado,17,Económica,3532.11,No,0,1810,2,Web
F,Antioquia,45,Abogado,15,Económica,1058.62,Sí,9498,1871,19,Web
M,Rio Grande do Sul,47,Contador,19,Económica,4327.9,No,0,2923,19,Web
F,Tucumán,37,Médico,8,Ejecutiva,3494.65,No,0,4297,48,Web
M,CABA,33,Abogado,14,Económica,5434.55,No,0,3474,0,App
M,Chiriquí,36,Médico,7,Económica,1649.02,No,0,6161,13,App
F,Chaco,42,Comerciante,3,Económica,497.28,No,0,1477,48,App
M,Tucumán,24,Abogado,9,Económica,1122.76,No,0,4060,23,Web
M,Tolima,20,Estudiante,4,Económica,526.93,No,0,522,14,App
M,Valle del Cauca,38,Docente,7,Económica,988.77,No,0,1407,35,Agencia
F,Paraná,18,Empleado,18,Económica,3873.28,No,0,2006,0,App
M,Entre Ríos,45,Ejecutivo,18,Ejecutiva,10928.87,Sí,34949,4941,5,Web
M,Tucumán,18,Estudiante,4,Económica,1019.56,No,0,300,14,App
F,Bahia,38,Docente,19,Económica,6057.14,No,0,2217,0,App
M,Chaco,53,Docente,9,Ejecutiva,6804.17,Sí,15323,744,22,Agencia
M,Valle del Cauca,25,Arquitecto,6,Ejecutiva,4506.02,Sí,15504,3950,57,App
M,Misiones,33,Deportista,52,Ejecutiva,24065.91,No,0,7374,7,Web
M,Veraguas,47,Arquitecto,9,Ejecutiva,4589.2,No,0,4236,2,Web
M,Mendoza,41,Empleado,13,Económica,3708.82,No,0,1102,5,App
M,Santander,43,Empleado,1,Económica,148.55,No,0,1772,8,Web
F,Paraná,37,Empleado,16,Económica,2830.12,No,0,847,12,App
M,Pernambuco,27,Contador,2,Ejecutiva,708.23,No,0,4151,14,App
M,Bolívar,32,Médico,24,Económica,2137.51,Sí,5815,4231,18,App
M,Panamá,41,Profesional independiente,20,Económica,6348.05,No,0,3442,17,App
F,Panamá,37,Abogado,21,Ejecutiva,7927.08,No,0,8117,27,Web
M,Chaco,50,Arquitecto,1,Económica,254.12,No,0,3425,0,Agencia
M,Entre Ríos,36,Ingeniero,19,Ejecutiva,12162.31,No,0,4306,20,Aeropuerto
F,Rio de Janeiro,34,Docente,9,Económica,2391.07,No,0,937,17,Web
F,Chaco,48,Profesional independiente,10,Económica,1998.32,No,0,2105,12,Web
F,Nariño,42,Docente,19,Ejecutiva,8734.32,No,0,1067,49,App
M,Misiones,33,Contador,2,Económica,341.14,No,0,2063,10,App
M,Salta,46,Ingeniero,9,Ejecutiva,3277.58,No,0,1880,24,Web
F,Bolívar,36,Otro,24,Económica,2747.21,Sí,9530,2358,4,App
F,Valle del Cauca,30,Comerciante,11,Ejecutiva,6986.1,No,0,6505,7,Aeropuerto
F,Bahia,25,Contador,22,Ejecutiva,10710.44,Sí,36236,4706,19,Web
F,Minas Gerais,42,Empresario,11,Económica,3534.77,No,0,2610,27,Web
M,Santa Fe,65,Jubilado,9,Económica,1828.72,No,0,1451,1,Web
M,Mendoza,47,Abogado,3,Ejecutiva,1542.81,Sí,6220,2401,19,Aeropuerto
M,Córdoba,31,Comerciante,8,Económica,956.91,No,0,1137,16,Agencia
F,Mendoza,28,Comerciante,23,Económica,2452.46,No,0,2398,1,App
F,Mendoza,22,Estudiante,6,Económica,1493.45,No,0,300,21,Web
F,CABA,53,Comerciante,2,Económica,556.0,No,0,1903,13,App
M,Buenos Aires,43,Contador,16,Económica,1755.57,No,0,1963,15,Web
F,Salta,18,Estudiante,5,Económica,999.2,No,0,771,46,App
M,Santa Fe,27,Otro,7,Económica,915.83,No,0,1844,10,App
F,Córdoba,48,Abogado,13,Económica,979.85,No,0,6272,5,App
M,Mendoza,22,Estudiante,2,Económica,258.01,No,0,322,9,Web
M,Bahia,24,Otro,1,Económica,128.96,No,0,1953,44,Web
M,Tucumán,46,Deportista,39,Económica,3428.86,No,0,4589,25,App
F,Antioquia,32,Médico,28,Económica,6372.82,No,0,6160,19,Agencia
M,Salta,62,Ingeniero,2,Ejecutiva,1091.32,Sí,4556,3244,70,Web
M,Panamá,58,Ingeniero,5,Económica,948.36,No,0,2593,0,Web
F,Tucumán,32,Comerciante,6,Económica,1279.8,No,0,2572,16,Web
M,Buenos Aires,31,Profesional independiente,24,Económica,3708.83,Sí,23769,1951,46,App
M,Atlántico,43,Arquitecto,21,Económica,2979.53,No,0,6159,24,Web
M,Tucumán,47,Contador,15,Económica,3573.33,No,0,1489,74,App
F,Mendoza,27,Profesional independiente,16,Económica,2015.68,No,0,1601,15,Web
F,Chaco,31,Médico,17,Ejecutiva,4298.54,No,0,7090,20,Web
M,Cundinamarca,32,Docente,8,Económica,958.04,No,0,1629,24,Agencia
F,Valle del Cauca,44,Profesional independiente,5,Económica,1056.29,No,0,3539,11,Web
M,São Paulo,27,Ejecutivo,57,Económica,16471.26,No,0,2505,16,App
M,Santa Fe,27,Docente,18,Económica,5745.16,No,0,824,30,Web
F,Mendoza,38,Profesional independiente,13,Económica,4949.69,No,0,3295,1,Web
M,Antioquia,30,Ingeniero,3,Económica,653.67,No,0,3188,9,App
F,Córdoba,28,Ejecutivo,28,Económica,4287.46,Sí,10148,1705,15,App
F,Tucumán,40,Docente,9,Económica,1311.91,No,0,1617,18,Aeropuerto
M,Bolívar,34,Comerciante,20,Económica,5628.42,No,0,2263,40,Web
M,Mendoza,30,Docente,15,Económica,1696.81,No,0,1031,26,Web
M,Minas Gerais,63,Jubilado,3,Económica,434.53,No,0,590,20,Agencia
M,São Paulo,30,Empleado,12,Económica,2394.51,No,0,1609,3,Web
M,Misiones,35,Comerciante,9,Económica,1373.48,Sí,3537,3250,0,Web
F,Entre Ríos,57,Arquitecto,18,Económica,5024.52,No,0,2723,8,Agencia
M,Chaco,36,Ejecutivo,38,Ejecutiva,19471.32,No,0,5111,5,App
M,Mendoza,67,Jubilado,5,Económica,630.54,No,0,765,3,Agencia
M,Santander,55,Docente,2,Económica,206.23,No,0,1234,18,App
M,Antioquia,28,Empleado,16,Económica,3801.21,No,0,1299,75,App
F,CABA,27,Empleado,16,Económica,3065.28,No,0,970,51,Web
F,Panamá,56,Empresario,17,Económica,1819.98,No,0,5957,37,Agencia
F,Los Santos,50,Arquitecto,16,Económica,2143.41,No,0,2840,32,App
M,Bolívar,40,Empleado,21,Ejecutiva,7177.38,No,0,3742,26,Web
M,CABA,20,Estudiante,5,Económica,1180.51,Sí,4978,420,2,Web
M,Nariño,46,Comerciante,20,Ejecutiva,5635.69,No,0,1454,26,App
M,Antioquia,57,Otro,4,Económica,548.72,No,0,933,12,Web
M,Chaco,55,Empleado,4,Ejecutiva,1328.73,No,0,1702,30,App
M,Tolima,22,Empleado,22,Económica,3518.61,No,0,1167,37,Web
M,Santa Fe,55,Otro,24,Económica,4453.71,No,0,877,16,Web
M,Colón,47,Contador,9,Económica,825.86,Sí,3088,4261,50,Web
M,Mendoza,44,Empleado,5,Económica,717.9,No,0,1536,58,Aeropuerto
No binario,Cundinamarca,46,Empleado,11,Económica,4160.65,No,0,1795,14,App
M,Santa Fe,31,Abogado,18,Económica,5315.29,No,0,6250,22,App
M,Misiones,29,Docente,22,Económica,7142.8,No,0,1027,9,Web
F,Panamá,35,Empleado,18,Económica,4610.25,Sí,12072,1650,34,Web
M,Santa Fe,34,Comerciante,2,Económica,708.89,No,0,1087,14,App
M,Los Santos,23,Estudiante,4,Económica,1092.55,No,0,420,44,App
F,Mendoza,32,Contador,18,Económica,1626.13,No,0,2362,0,Web
F,Rio de Janeiro,30,Otro,22,Económica,4584.0,No,0,2765,12,App
F,São Paulo,36,Empleado,16,Económica,3578.11,No,0,1489,3,App
F,Córdoba,40,Ingeniero,9,Económica,931.31,Sí,4357,3441,17,Web
F,Entre Ríos,80,Jubilado,12,Económica,2021.19,No,0,688,29,App
F,Buenos Aires,43,Docente,14,Económica,4117.93,No,0,1244,36,App
F,Misiones,18,Estudiante,1,Ejecutiva,627.57,Sí,1879,341,2,Web
M,Minas Gerais,41,Comerciante,3,Económica,704.01,Sí,2673,623,0,Web
